start,finish,distance,flights,steps
30/9/16 0:00,1/10/16 0:00,2.711023871,6,6581
1/10/16 0:00,2/10/16 0:00,2.630108914,1,6080
2/10/16 0:00,3/10/16 0:00,1.682952806,2,4345
3/10/16 0:00,4/10/16 0:00,1.303350931,4,2933
4/10/16 0:00,5/10/16 0:00,2.820552971,4,6933
5/10/16 0:00,6/10/16 0:00,0.9636473,2,2232
6/10/16 0:00,7/10/16 0:00,3.240611481,8,7447
7/10/16 0:00,8/10/16 0:00,2.952084825,7,7175
8/10/16 0:00,9/10/16 0:00,1.52480141,3,3914
9/10/16 0:00,10/10/16 0:00,1.872166547,2,5317
10/10/16 0:00,11/10/16 0:00,2.0716267,2,5289
11/10/16 0:00,12/10/16 0:00,2.309344677,8,5732
12/10/16 0:00,13/10/16 0:00,0.976223853,3,2440
13/10/16 0:00,14/10/16 0:00,2.424845154,8,6098
14/10/16 0:00,15/10/16 0:00,1.636993029,2,4095.740063
15/10/16 0:00,16/10/16 0:00,2.116699434,6,5783.259937
16/10/16 0:00,17/10/16 0:00,1.942164012,6,5267
17/10/16 0:00,18/10/16 0:00,2.68157709,9,6482
18/10/16 0:00,19/10/16 0:00,2.319535165,11,6384
19/10/16 0:00,20/10/16 0:00,1.357472361,8,3348
20/10/16 0:00,21/10/16 0:00,3.103009674,2,7485
21/10/16 0:00,22/10/16 0:00,0,1,16
22/10/16 0:00,23/10/16 0:00,1.477682832,1,3786
23/10/16 0:00,24/10/16 0:00,2.293002615,3,5918
24/10/16 0:00,25/10/16 0:00,1.542790106,5,3729
25/10/16 0:00,26/10/16 0:00,3.961054939,9,9249
26/10/16 0:00,27/10/16 0:00,1.361834387,3,3666
27/10/16 0:00,28/10/16 0:00,2.411075569,7,5947
28/10/16 0:00,29/10/16 0:00,2.407204426,9,6005
29/10/16 0:00,30/10/16 0:00,0.202206613,1,521
30/10/16 0:00,31/10/16 0:00,1.731867146,2,4428
31/10/16 0:00,1/11/16 0:00,3.584740118,8,8829
1/11/16 0:00,2/11/16 0:00,3.096771107,5,7104
2/11/16 0:00,3/11/16 0:00,2.369058449,5,5646
3/11/16 0:00,4/11/16 0:00,2.29095209,7,5660
4/11/16 0:00,5/11/16 0:00,2.498378221,7,5611
5/11/16 0:00,6/11/16 0:00,1.800553517,5,5008
6/11/16 0:00,7/11/16 0:00,0.858598286,0,2184
7/11/16 0:00,8/11/16 0:00,2.636943997,8,6536
8/11/16 0:00,9/11/16 0:00,2.552804124,7,5796
9/11/16 0:00,10/11/16 0:00,1.482256124,5,3598
10/11/16 0:00,11/11/16 0:00,2.372923377,8,5669
11/11/16 0:00,12/11/16 0:00,0.701279528,1,1610
12/11/16 0:00,13/11/16 0:00,1.040498489,3,2443
